Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:09:02.7,79.80 0.00,00:00:00.0 00:00:00.0,1
2,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:09:03.0,79.76 0.02,00:00:00.3 00:00:00.3,1
3,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:09:05.0,79.46 0.19,00:00:02.3 00:00:02.0,1
4,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:09:05.3,79.42 0.22,00:00:02.6 00:00:00.3,1
5,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:09:06.1,79.30 0.28,00:00:03.4 00:00:00.8,1
6,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:09:06.7,79.22 0.33,00:00:04.0 00:00:00.6,1
7,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:09:07.7,79.07 0.42,00:00:05.0 00:00:01.0,1
8,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:09:10.6,78.66 0.66,00:00:07.9 00:00:02.9,1
9,23,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally2,RC2,00:09:19.0,77.47 1.35,00:00:16.3 00:00:08.4,1
10,25,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:09:20.2,77.31 1.45,00:00:17.5 00:00:01.2,1
11,26,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:09:20.5,77.27 1.48,00:00:17.8 00:00:00.3,1
12,35,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:09:21.2,77.17 1.54,00:00:18.5 00:00:00.7,1
13,21,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:09:22.0,77.06 1.60,00:00:19.3 00:00:00.8,1
14,22,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:09:22.9,76.94 1.68,00:00:20.2 00:00:00.9,1
15,20,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:09:23.1,76.91 1.70,00:00:20.4 00:00:00.2,1
16,24,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:09:25.3,76.61 1.88,00:00:22.6 00:00:02.2,1
