Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:23.3,91.37 0.00,00:00:00.0 00:00:00.0,1
2,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:03:24.9,90.66 0.31,00:00:01.6 00:00:01.6,1
3,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:26.4,90.00 0.60,00:00:03.1 00:00:01.5,1
4,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:03:27.2,89.65 0.76,00:00:03.9 00:00:00.8,1
5,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:03:28.3,89.18 0.97,00:00:05.0 00:00:01.1,1
6,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:28.9,88.92 1.09,00:00:05.6 00:00:00.6,1
7,42,Breen  Craig  /  Fulton  James  Hyundai i20 N Rally1 Hybrid,RC1,00:03:30.0,88.46 1.30,00:00:06.7 00:00:01.1,1
8,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:03:34.1,86.76 2.09,00:00:10.8 00:00:04.1,1
9,24,Huttunen  Jari  /  Linnaketo  Antti  Škoda Fabia R5,RC2,00:03:34.7,86.52 2.21,00:00:11.4 00:00:00.6,1
10,21,Veiby  O.  /  Eriksen  T.  Volkswagen Polo Gti R5,RC2,00:03:35.6,86.16 2.38,00:00:12.3 00:00:00.9,1
11,20,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:03:35.7,86.12 2.40,00:00:12.4 00:00:00.1,1
12,22,Lindholm  Emil  /  Hämäläinen  R.  Škoda Fabia RS Rally2,RC2,00:03:35.9,86.04 2.44,00:00:12.6 00:00:00.2,1
12,28,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:03:35.9,86.04 2.44,00:00:12.6 00:00:00.0,1
14,23,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally2,RC2,00:03:36.6,85.76 2.58,00:00:13.3 00:00:00.7,1
15,27,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:03:36.9,85.64 2.64,00:00:13.6 00:00:00.3,1
16,31,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:03:37.3,85.49 2.71,00:00:14.0 00:00:00.4,1
16,32,Bulacia  Bruno  /  Coronado  Axel  Škoda Fabia Rally2 Evo,RC2,00:03:37.3,85.49 2.71,00:00:14.0 00:00:00.0,1
18,37,Bertelli  L.  /  Scattolin  S.  Toyota GR Yaris Rally1 Hybrid,RC1,00:03:37.5,85.41 2.75,00:00:14.2 00:00:00.2,1
19,30,Joona  Lauri  /  Shemeikka  T.  Škoda Fabia Rally2 Evo,RC2,00:03:39.4,84.67 3.12,00:00:16.1 00:00:01.9,1
20,26,Kaur  Egon  /  Viilo  Jakko  Škoda Fabia Rally2 Evo,RC2,00:03:39.6,84.59 3.16,00:00:16.3 00:00:00.2,1
21,34,Zaldivar  F.  /  Der Ohannesian  M.  Hyundai i20 N Rally2,RC2,00:03:39.9,84.47 3.22,00:00:16.6 00:00:00.3,1
22,25,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:03:40.0,84.44 3.24,00:00:16.7 00:00:00.1,1
23,29,Virves  Robert  /  Magalhães  Hugo  Ford Fiesta Rally2 MkII,RC2,00:03:41.1,84.02 3.45,00:00:17.8 00:00:01.1,1
24,41,Jonasson  J.  /  Jonasson  N.  Škoda Fabia Rally2 Evo,RC2,00:03:43.6,83.08 3.93,00:00:20.3 00:00:02.5,1
25,50,Creighton  W.  /  Regan  Liam  Ford Fiesta Rally3,RC3,00:03:45.5,82.38 4.30,00:00:22.2 00:00:01.9,1
26,49,Korhonen  Roope  /  Viinikka  Anssi  Ford Fiesta Rally3,RC3,00:03:47.3,81.72 4.65,00:00:24.0 00:00:01.8,1
27,36,Sołowow  M.  /  Baran  Maciej  Škoda Fabia RS Rally2,RC2,00:03:47.4,81.69 4.67,00:00:24.1 00:00:00.1,1
28,54,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:03:48.9,81.15 4.96,00:00:25.6 00:00:01.5,1
29,55,Kallio  Jesse  /  Lindberg  Jussi  Ford Fiesta Rally3,RC3,00:03:49.0,81.12 4.98,00:00:25.7 00:00:00.1,1
30,35,Al-Rashed  Rakan  /  Moscatt  Dale  Škoda Fabia RS Rally2,RC2,00:03:49.1,81.08 5.00,00:00:25.8 00:00:00.1,1
31,53,Herranen  Toni  /  Lukka  Mikko  Ford Fiesta Rally3,RC3,00:03:49.6,80.91 5.10,00:00:26.3 00:00:00.5,1
32,38,Miele  Mauro  /  Beltrame  Luca  Škoda Fabia Rally2 Evo,RC2,00:03:50.5,80.59 5.27,00:00:27.2 00:00:00.9,1
33,51,Munster  G.  /  Louka  Louis  Ford Fiesta Rally3,RC3,00:03:50.8,80.49 5.33,00:00:27.5 00:00:00.3,1
34,56,Kelly  Eamonn  /  Mohan  Conor  Ford Fiesta Rally3,RC3,00:03:52.6,79.86 5.68,00:00:29.3 00:00:01.8,1
35,57,Kohn  Filip  /  Střeska  T.  Ford Fiesta Rally3,RC3,00:03:54.1,79.35 5.97,00:00:30.8 00:00:01.5,1
36,52,Pellier  Laurent  /  Pelamourgues  M.  Ford Fiesta Rally3,RC3,00:03:54.3,79.28 6.01,00:00:31.0 00:00:00.2,1
37,46,Zaldivar  Miguel  /  Díaz  J.  Hyundai i20 N Rally2,RC2,00:03:55.6,78.85 6.26,00:00:32.3 00:00:01.3,1
38,40,Alonso  Daniel  /  Lopez  Alejandro  Citroën C3 Rally2,RC2,00:03:55.8,78.78 6.30,00:00:32.5 00:00:00.2,1
39,59,Rensonnet  Tom  /  Dumont  Loïc  Ford Fiesta Rally3,RC3,00:04:00.6,77.21 7.23,00:00:37.3 00:00:04.8,1
40,45,Roman  Joakim  /  Lidebjer Granberg  I.  Škoda Fabia R5,RC2,00:04:03.0,76.44 7.69,00:00:39.7 00:00:02.4,1
41,61,Anwar  Hamza  /  Din  Adnan  Ford Fiesta Rally3,RC3,00:04:06.0,75.51 8.28,00:00:42.7 00:00:03.0,1
42,48,Villanueva  A.  /  Murado  José  Škoda Fabia Rally2 Evo,RC2,00:04:07.9,74.93 8.64,00:00:44.6 00:00:01.9,1
43,62,García  J.  /  Cue  Daniel  Škoda Fabia Rally2 Evo,RC2,00:04:08.6,74.72 8.78,00:00:45.3 00:00:00.7,1
44,60,Blach  Roberto  /  Barreiro  Mauro  Ford Fiesta Rally3,RC3,00:04:11.6,73.83 9.36,00:00:48.3 00:00:03.0,1
45,44,Cobbe  Luciano  /  Mometti  Roberto  Škoda Fabia Rally2 Evo,RC2,00:04:12.8,73.48 9.59,00:00:49.5 00:00:01.2,1
45,47,Díaz Aboitiz  M.  /  Del Barrio  R.  Škoda Fabia Rally2 Evo,RC2,00:04:12.8,73.48 9.59,00:00:49.5 00:00:00.0,1
