Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:01:32.9,57.35 0.00,00:00:00.0 00:00:00.0,1
2,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:01:33.2,57.17 0.20,00:00:00.3 00:00:00.3,1
3,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:01:33.3,57.11 0.27,00:00:00.4 00:00:00.1,1
4,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:01:33.4,57.04 0.34,00:00:00.5 00:00:00.1,1
5,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:01:33.6,56.92 0.47,00:00:00.7 00:00:00.2,1
6,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:01:34.2,56.56 0.88,00:00:01.3 00:00:00.6,1
6,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:01:34.2,56.56 0.88,00:00:01.3 00:00:00.0,1
8,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:01:34.6,56.32 1.15,00:00:01.7 00:00:00.4,1
9,20,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:01:35.0,56.08 1.42,00:00:02.1 00:00:00.4,1
10,26,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:01:35.4,55.85 1.69,00:00:02.5 00:00:00.4,1
11,28,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:01:35.7,55.67 1.89,00:00:02.8 00:00:00.3,1
11,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:01:35.7,55.67 1.89,00:00:02.8 00:00:00.0,1
13,27,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:01:36.0,55.50 2.09,00:00:03.1 00:00:00.3,1
14,21,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:01:36.1,55.44 2.16,00:00:03.2 00:00:00.1,1
14,25,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia RS Rally2,RC2,00:01:36.1,55.44 2.16,00:00:03.2 00:00:00.0,1
16,23,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:01:36.6,55.16 2.50,00:00:03.7 00:00:00.5,1
17,34,Joona  Lauri  /  Shemeikka  T.  Škoda Fabia RS Rally2,RC2,00:01:36.7,55.10 2.57,00:00:03.8 00:00:00.1,1
18,24,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:01:36.9,54.98 2.70,00:00:04.0 00:00:00.2,1
18,32,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:01:36.9,54.98 2.70,00:00:04.0 00:00:00.0,1
18,35,Virves  Robert  /  Drew  Craig  Ford Fiesta Rally2 MkII,RC2,00:01:36.9,54.98 2.70,00:00:04.0 00:00:00.0,1
21,31,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:01:37.0,54.93 2.77,00:00:04.1 00:00:00.1,1
22,30,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:01:37.2,54.81 2.91,00:00:04.3 00:00:00.2,1
23,22,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:01:37.7,54.53 3.24,00:00:04.8 00:00:00.5,1
24,44,Gill  Gaurav  /  Barral  Florian  Škoda Fabia Rally2 Evo,RC2,00:01:39.2,53.71 4.26,00:00:06.3 00:00:01.5,1
25,37,Athanassoulas  L.  /  Zakcheos  N.  Hyundai i20 N Rally2,RC2,00:01:40.8,52.86 5.34,00:00:07.9 00:00:01.6,1
26,38,Cachon  A.  /  Lopez  Alejandro  Citroën C3 Rally2,RC2,00:01:41.3,52.60 5.68,00:00:08.4 00:00:00.5,1
27,60,Creighton  W.  /  Regan  Liam  Ford Fiesta Rally3,RC3,00:01:41.7,52.39 5.95,00:00:08.8 00:00:00.4,1
28,61,Pellier  Laurent  /  Bronner  Kévin  Ford Fiesta Rally3,RC3,00:01:42.2,52.13 6.28,00:00:09.3 00:00:00.5,1
29,73,Hoelbling  Luca  /  Righetti  S.  Škoda Fabia Rally2 Evo,RC2,00:01:42.7,51.88 6.62,00:00:09.8 00:00:00.5,1
