Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:01:36.9,89.16 0.00,00:00:00.0 00:00:00.0,1
2,3,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:01:37.4,88.71 0.21,00:00:00.5 00:00:00.5,1
3,10,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:01:37.9,88.25 0.42,00:00:01.0 00:00:00.5,1
4,1,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:01:38.3,87.89 0.58,00:00:01.4 00:00:00.4,1
4,2,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia R5,RC2,00:01:38.3,87.89 0.58,00:00:01.4 00:00:00.0,1
6,15,Turán  Frigyes  /  Farnadi  Ágnes  Volkswagen Polo Gti R5,RC2,00:01:38.4,87.80 0.63,00:00:01.5 00:00:00.1,1
7,6,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:01:38.5,87.72 0.67,00:00:01.6 00:00:00.1,1
8,14,Vincze  Ferenc  /  Percze  Nándor  Škoda Fabia Rally2 Evo,RC2,00:01:38.6,87.63 0.71,00:00:01.7 00:00:00.1,1
9,5,Bonato  Yoann  /  Boulloud  B.  Citroën C3 Rally2,RC2,00:01:39.2,87.10 0.96,00:00:02.3 00:00:00.6,1
9,16,Hadik  András  /  Kertész  K.  Ford Fiesta Rally2 MkII,RC2,00:01:39.2,87.10 0.96,00:00:02.3 00:00:00.0,1
11,7,Csomós  Miklós  /  Bán  Viktor  Škoda Fabia Rally2 Evo,RC2,00:01:39.3,87.01 1.00,00:00:02.4 00:00:00.1,1
12,4,Franceschi  M.  /  Manzo  Benoît  Škoda Fabia RS Rally2,RC2,00:01:39.6,86.75 1.13,00:00:02.7 00:00:00.3,1
12,11,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:01:39.6,86.75 1.13,00:00:02.7 00:00:00.0,1
14,20,Michelisz  N.  /  Tagai  Róbert  Hyundai i20 N Rally2,RC2,00:01:41.0,85.54 1.71,00:00:04.1 00:00:01.4,1
15,32,Német  Gábor  /  Németh  Gergely  Hyundai i20 N Rally2,RC2,00:01:41.2,85.38 1.79,00:00:04.3 00:00:00.2,1
16,19,Allen  Philip  /  Furniss  Dale  Hyundai i20 N Rally2,RC2,00:01:42.0,84.71 2.13,00:00:05.1 00:00:00.8,1
17,17,Bodolai  L.  /  Deák  Attila  Ford Fiesta Rally2 MkII,RC2,00:01:42.1,84.62 2.17,00:00:05.2 00:00:00.1,1
18,12,Cuzma  Bogdan  /  Magalhães  Hugo  Škoda Fabia RS Rally2,RC2,00:01:45.2,82.13 3.46,00:00:08.3 00:00:03.1,1
18,22,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:01:45.2,82.13 3.46,00:00:08.3 00:00:00.0,1
20,24,Schulz  Timo  /  Wenzel  Michael  Opel Corsa Rally4,RC4,00:01:45.4,81.97 3.54,00:00:08.5 00:00:00.2,1
21,29,Herczig  Patrik  /  Varga  Kristóf  Peugeot 208 Rally4,RC4,00:01:46.0,81.51 3.79,00:00:09.1 00:00:00.6,1
22,31,Hangodi  B.  /  Nagy  Attila  Peugeot 208 Rally4,RC4,00:01:46.1,81.43 3.83,00:00:09.2 00:00:00.1,1
23,21,Maior  Norbert  /  Maior  Francesca  Peugeot 208 Rally4,RC4,00:01:46.4,81.20 3.96,00:00:09.5 00:00:00.3,1
24,33,Kohn  Filip  /  Whittock  Ross  Ford Fiesta Rally3,RC3,00:01:46.6,81.05 4.04,00:00:09.7 00:00:00.2,1
25,27,Johansson  Mille  /  Grönvall  Johan  Opel Corsa Rally4,RC4,00:01:46.7,80.97 4.08,00:00:09.8 00:00:00.1,1
