Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:02:39.0,78.79 0.00,00:00:00.0 00:00:00.0,1
2,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:02:39.6,78.50 0.17,00:00:00.6 00:00:00.6,1
3,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:39.7,78.45 0.20,00:00:00.7 00:00:00.1,1
4,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:02:40.8,77.91 0.52,00:00:01.8 00:00:01.1,1
5,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:40.9,77.86 0.55,00:00:01.9 00:00:00.1,1
6,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:02:41.2,77.72 0.63,00:00:02.2 00:00:00.3,1
7,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:42.1,77.29 0.89,00:00:03.1 00:00:00.9,1
8,3,Suninen  Teemu  /  Markkula  Mikko  Hyundai i20 N Rally1 Hybrid,RC1,00:02:43.6,76.58 1.32,00:00:04.6 00:00:01.5,1
9,97,Latvala  J.  /  Hänninen  Juho  Toyota GR Yaris Rally1 Hybrid,RC1,00:02:47.1,74.97 2.33,00:00:08.1 00:00:03.5,1
10,28,Huttunen  Jari  /  Haapala  Antti  Škoda Fabia RS Rally2,RC2,00:02:47.3,74.88 2.39,00:00:08.3 00:00:00.2,1
11,25,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia RS Rally2,RC2,00:02:48.4,74.39 2.70,00:00:09.4 00:00:01.1,1
12,24,Mikkelsen  A.  /  Eriksen  T.  Škoda Fabia RS Rally2,RC2,00:02:49.0,74.13 2.87,00:00:10.0 00:00:00.6,1
13,23,Lindholm  Emil  /  Hämäläinen  R.  Hyundai i20 N Rally2,RC2,00:02:49.4,73.96 2.99,00:00:10.4 00:00:00.4,1
13,26,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:02:49.4,73.96 2.99,00:00:10.4 00:00:00.0,1
15,27,Pajari  Sami  /  Mälkönen  Enni  Škoda Fabia RS Rally2,RC2,00:02:49.6,73.87 3.05,00:00:10.6 00:00:00.2,1
16,21,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:02:50.9,73.31 3.42,00:00:11.9 00:00:01.3,1
17,30,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia RS Rally2,RC2,00:02:51.0,73.26 3.45,00:00:12.0 00:00:00.1,1
18,52,Korhonen  Roope  /  Viinikka  Anssi  Volkswagen Polo Gti R5,RC2,00:02:51.3,73.13 3.53,00:00:12.3 00:00:00.3,1
19,20,Rossel  Yohan  /  Dunand  Arnaud  Citroën C3 Rally2,RC2,00:02:51.8,72.92 3.68,00:00:12.8 00:00:00.5,1
20,22,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:02:51.9,72.88 3.71,00:00:12.9 00:00:00.1,1
21,34,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,00:02:52.2,72.75 3.79,00:00:13.2 00:00:00.3,1
21,41,Tahko  Riku  /  Soininen  Markus  Hyundai i20 N Rally2,RC2,00:02:52.2,72.75 3.79,00:00:13.2 00:00:00.0,1
23,29,Joona  Lauri  /  Shemeikka  T.  Škoda Fabia RS Rally2,RC2,00:02:52.6,72.58 3.91,00:00:13.6 00:00:00.4,1
24,44,Ciamin  Nicolas  /  Roche  Yannick  Volkswagen Polo Gti R5,RC2,00:02:52.7,72.54 3.94,00:00:13.7 00:00:00.1,1
25,35,Zaldivar  F.  /  Der Ohannesian  M.  Hyundai i20 N Rally2,RC2,00:02:52.9,72.46 3.99,00:00:13.9 00:00:00.2,1
26,36,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:02:53.0,72.42 4.02,00:00:14.0 00:00:00.1,1
27,31,Virves  Robert  /  Drew  Craig  Ford Fiesta Rally2 MkII,RC2,00:02:53.3,72.29 4.11,00:00:14.3 00:00:00.3,1
27,38,Fernàndez  E.  /  Odriozola  Borja  Škoda Fabia Rally2 Evo,RC2,00:02:53.3,72.29 4.11,00:00:14.3 00:00:00.0,1
29,39,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:02:53.4,72.25 4.14,00:00:14.4 00:00:00.1,1
30,32,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,00:02:53.5,72.21 4.17,00:00:14.5 00:00:00.1,1
31,65,Rytkönen  Anssi  /  Koskela  J.  Škoda Fabia R5,RC2,00:02:53.8,72.08 4.25,00:00:14.8 00:00:00.3,1
32,37,Bulacia  Bruno  /  Coronado  Axel  Škoda Fabia RS Rally2,RC2,00:02:54.7,71.71 4.51,00:00:15.7 00:00:00.9,1
33,40,Munster  G.  /  Louka  Louis  Ford Fiesta Rally2 MkII,RC2,00:02:56.0,71.18 4.89,00:00:17.0 00:00:01.3,1
34,46,Villanueva  A.  /  Murado  José  Škoda Fabia RS Rally2,RC2,00:02:57.1,70.74 5.20,00:00:18.1 00:00:01.1,1
35,48,Kelly  Eamonn  /  Mohan  Conor  Hyundai i20 N Rally2,RC2,00:02:57.5,70.58 5.32,00:00:18.5 00:00:00.4,1
36,56,Kohn  Filip  /  Woodburn  Tom  Ford Fiesta Rally3,RC3,00:03:01.5,69.02 6.47,00:00:22.5 00:00:04.0,1
37,75,Cartier  Victor  /  Deliot  Manon  Toyota Yaris R4,RC2,00:03:02.2,68.76 6.67,00:00:23.2 00:00:00.7,1
38,53,Korhola  B.  /  Kelander  Pekka  Ford Fiesta Rally3,RC3,00:03:03.4,68.31 7.01,00:00:24.4 00:00:01.2,1
39,64,Borodin  Petr  /  Cheprasov  Roman  Ford Fiesta Rally3,RC3,00:03:03.6,68.24 7.07,00:00:24.6 00:00:00.2,1
40,55,Türkkan  Ali  /  Erdener  Burak  Ford Fiesta Rally3,RC3,00:03:04.4,67.94 7.30,00:00:25.4 00:00:00.8,1
41,57,Kallio  Jesse  /  Lindberg  Jussi  Ford Fiesta Rally3,RC3,00:03:04.8,67.79 7.41,00:00:25.8 00:00:00.4,1
42,45,Jylhä  Tommi  /  Nevanpää  K.  Škoda Fabia R5,RC2,00:03:06.0,67.35 7.76,00:00:27.0 00:00:01.2,1
43,59,Timonen  Henri  /  Kärpijoki  J.  Ford Fiesta Rally3,RC3,00:03:06.8,67.07 7.99,00:00:27.8 00:00:00.8,1
44,76,Rowley  Paul  /  Mullen  Darragh  Ford Fiesta Rally2 MkII,RC2,00:03:07.8,66.71 8.28,00:00:28.8 00:00:01.0,1
