Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:09:27.1,+00:00:00,10
2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:09:27.5,+00:00:00.4,10
3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:09:28.2,+00:00:01.1,10
4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:09:30.7,+00:00:03.6,10
5, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:09:34.4,+00:00:07.3,10
6, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:09:36.5,+00:00:09.4,10
7, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:09:36.7,+00:00:09.6,10
8, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:09:42.7,+00:00:15.6,10
9, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:09:59.5,+00:00:32.4,10
10, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:01.7,+00:00:34.6,10
11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:02.6,+00:00:35.5,10
12, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:04,+00:00:36.9,10
13, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:04.4,+00:00:37.3,10
14, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:05.2,+00:00:38.1,10
15, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:05.8,+00:00:38.7,10
16, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:06.5,+00:00:39.4,10
17, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:12.4,+00:00:45.3,10
18, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:13.4,+00:00:46.3,10
19, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:19.3,+00:00:52.2,10
20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:23.8,+00:00:56.7,10
21, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:10:28.1,+00:01:01,10
22, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:33.8,+00:01:06.7,10
23, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:10:43.5,+00:01:16.4,10
24, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:44.8,+00:01:17.7,10
25, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:10:46.4,+00:01:19.3,10
26, Alessandro GINO Daniele MICHI,Citroen C3,53,00:10:47.9,+00:01:20.8,10
27, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:10:50.2,+00:01:23.1,10
28, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:10:58,+00:01:30.9,10
29, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:11:00.3,+00:01:33.2,10
30, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:01.9,+00:01:34.8,10
31, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:02.1,+00:01:35,10
32, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:11:04.4,+00:01:37.3,10
33, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:05,+00:01:37.9,10
34, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:10.3,+00:01:43.2,10
35, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:13.2,+00:01:46.1,10
36, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:16.1,+00:01:49,10
37, Eamonn BOLAND MJ ,Citroen C3,42,00:11:17.3,+00:01:50.2,10
38, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:18.3,+00:01:51.2,10
39, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:11:20.6,+00:01:53.5,10
40, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:11:24.5,+00:01:57.4,10
41, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:24.6,+00:01:57.5,10
42, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:27.1,+00:02:00,10
43, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:28.8,+00:02:01.7,10
44, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:29.6,+00:02:02.5,10
45, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:32,+00:02:04.9,10
46, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:32.2,+00:02:05.1,10
47, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:34.8,+00:02:07.7,10
48, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:35.5,+00:02:08.4,10
49, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:35.8,+00:02:08.7,10
50, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:11:37,+00:02:09.9,10
51, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:39.1,+00:02:12,10
52, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:39.4,+00:02:12.3,10
53, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:11:48,+00:02:20.9,10
54, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:11:54.7,+00:02:27.6,10
55, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:01.5,+00:02:34.4,10
56, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:11.2,+00:02:44.1,10
57, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:14.9,+00:02:47.8,10
58, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:15.8,+00:02:48.7,10
59, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:19.5,+00:02:52.4,10
60, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:22.4,+00:02:55.3,10
61, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:32,+00:03:04.9,10
62, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:32.5,+00:03:05.4,10
63, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:33.7,+00:03:06.6,10
64, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:33.7,+00:03:06.6,10
65, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:34.8,+00:03:07.7,10
66, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:35.6,+00:03:08.5,10
67, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:13:39.5,+00:04:12.4,10
68, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:13:53.1,+00:04:26,10
69, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:58.3,+00:04:31.2,10
70, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:59.8,+00:04:32.7,10
71, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:19:27.1,+00:10:00,10
72, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:19:59.5,+00:10:32.4,10
73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,10
