Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,8,Tänak  Ott  /  Järveoja  M.  Ford Puma Rally1 Hybrid,RC1,00:00:58.0,69.52 0.00,00:00:00.0 00:00:00.0,1
2,69,Rovanperä  K.  /  Halttunen  Jonne  Toyota GR Yaris Rally1 Hybrid,RC1,00:00:58.8,68.57 0.71,00:00:00.8 00:00:00.8,1
3,4,Lappi  Esapekka  /  Ferm  Janne  Hyundai i20 N Rally1 Hybrid,RC1,00:00:59.3,67.99 1.16,00:00:01.3 00:00:00.5,1
4,33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:00:59.5,67.76 1.34,00:00:01.5 00:00:00.2,1
5,11,Neuville  T.  /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1,00:00:59.7,67.54 1.52,00:00:01.7 00:00:00.2,1
6,6,Sordo  Dani  /  Carrera  C.  Hyundai i20 N Rally1 Hybrid,RC1,00:00:59.8,67.42 1.61,00:00:01.8 00:00:00.1,1
6,17,Ogier  S.  /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1,00:00:59.8,67.42 1.61,00:00:01.8 00:00:00.0,1
8,7,Loubet  P.  /  Gilsoul  Nicolas  Ford Puma Rally1 Hybrid,RC1,00:01:00.1,67.09 1.88,00:00:02.1 00:00:00.3,1
9,18,Katsuta  T.  /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1,00:01:00.3,66.87 2.05,00:00:02.3 00:00:00.2,1
10,24,Lindholm  Emil  /  Hämäläinen  R.  Škoda Fabia Rally2 Evo,RC2,00:01:00.8,66.32 2.50,00:00:02.8 00:00:00.5,1
11,23,Gryazin  Nikolay  /  Aleksandrov  K.  Škoda Fabia Rally2 Evo,RC2,00:01:01.3,65.77 2.95,00:00:03.3 00:00:00.5,1
12,20,Greensmith  Gus  /  Andersson  Jonas  Škoda Fabia RS Rally2,RC2,00:01:01.4,65.67 3.04,00:00:03.4 00:00:00.1,1
13,25,Kajetanowicz  K.  /  Szczepaniak  M.  Škoda Fabia Rally2 Evo,RC2,00:01:01.8,65.24 3.39,00:00:03.8 00:00:00.4,1
14,29,Martínez  Jorge  /  Álvarez  A.  Škoda Fabia R5,RC2,00:01:03.7,63.30 5.09,00:00:05.7 00:00:01.9,1
14,36,Mauro  Alejandro  /  Sanjuán  Diego  Škoda Fabia Rally2 Evo,RC2,00:01:03.7,63.30 5.09,00:00:05.7 00:00:00.0,1
16,21,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:01:04.1,62.90 5.45,00:00:06.1 00:00:00.4,1
16,34,Salas  Carlos  /  Zapata  Jaime  Škoda Fabia R5,RC2,00:01:04.1,62.90 5.45,00:00:06.1 00:00:00.0,1
18,32,Granados  Miguel  /  Martí  Marc  Škoda Fabia Rally2 Evo,RC2,00:01:04.4,62.61 5.71,00:00:06.4 00:00:00.3,1
19,9,Serderidis  J.  /  Miclotte  F.  Ford Puma Rally1 Hybrid,RC1,00:01:04.7,62.32 5.98,00:00:06.7 00:00:00.3,1
20,22,Fourmaux  Adrien  /  Coria  Alexandre  Ford Fiesta Rally2 MkII,RC2,00:01:04.9,62.13 6.16,00:00:06.9 00:00:00.2,1
21,26,Prokop  Martin  /  Ernst  Michal  Ford Fiesta Rally2 MkII,RC2,00:01:05.0,62.03 6.25,00:00:07.0 00:00:00.1,1
22,31,Cordero  Ricardo  /  Hernández  M.  Citroën C3 Rally2,RC2,00:01:05.4,61.65 6.61,00:00:07.4 00:00:00.4,1
23,28,Castro  Eduardo  /  Mussano  F.  Škoda Fabia Rally2 Evo,RC2,00:01:05.8,61.28 6.96,00:00:07.8 00:00:00.4,1
24,30,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,00:01:06.7,60.45 7.77,00:00:08.7 00:00:00.9,1
25,27,Chwist  Daniel  /  Heller  Kamil  Škoda Fabia Rally2 Evo,RC2,00:01:07.8,59.47 8.75,00:00:09.8 00:00:01.1,1
26,35,Coyne  John  /  Treacy  Eoin  Ford Fiesta Rally2 MkII,RC2,00:01:09.4,58.10 10.18,00:00:11.4 00:00:01.6,1
27,38,Spitalier  P.  /  Spitalier  N.  Renault Clio Rally5,RC5,00:01:11.4,56.47 11.96,00:00:13.4 00:00:02.0,1
28,37,Bailey  Jason  /  Peterson  Shayne  Ford Fiesta Rally3,RC3,00:01:11.7,56.23 12.23,00:00:13.7 00:00:00.3,1
29,39,Urióstegui  G.  /  Zapata  Armando  Renault Clio Rally5,RC5,00:01:11.9,56.08 12.41,00:00:13.9 00:00:00.2,1
30,42,Retama  Emiliano  /  Retama  Diego  Renault Clio Rally5,RC5,00:01:13.4,54.93 13.75,00:00:15.4 00:00:01.5,1
31,41,Maggio  Rafael  /  Pimentel  M.  Renault Clio Rally5,RC5,00:01:30.4,44.60 28.93,00:00:32.4 00:00:17.0,1
