Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,10,Wagner  Simon  /  Winter  Gerald  Škoda Fabia RS Rally2,RC2,00:07:07.0,80.68 0.00,00:00:00.0 00:00:00.0,1
2,18,Kopecký  Jan  /  Hloušek  Jan  Škoda Fabia RS Rally2,RC2,00:07:07.4,80.61 0.04,00:00:00.4 00:00:00.4,1
3,5,Lukyanuk  Alexey  /  Chervonenko  Y.  Škoda Fabia RS Rally2,RC2,00:07:08.5,80.40 0.16,00:00:01.5 00:00:01.1,1
4,11,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:07:09.5,80.21 0.26,00:00:02.5 00:00:01.0,1
5,14,Csomós  Miklós  /  Bán  Viktor  Škoda Fabia Rally2 Evo,RC2,00:07:11.0,79.94 0.42,00:00:04.0 00:00:01.5,1
6,9,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:07:11.6,79.82 0.48,00:00:04.6 00:00:00.6,1
6,20,Stříteský  D.  /  Hovorka  Jiří  Škoda Fabia R5,RC2,00:07:11.6,79.82 0.48,00:00:04.6 00:00:00.0,1
8,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:07:12.3,79.69 0.55,00:00:05.3 00:00:00.7,1
9,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:07:12.9,79.58 0.62,00:00:05.9 00:00:00.6,1
10,21,Březík  Adam  /  Krajča  Ondřej  Škoda Fabia Rally2 Evo,RC2,00:07:13.2,79.53 0.65,00:00:06.2 00:00:00.3,1
11,76,Pech  Václav  /  Uhel  Petr  Ford Focus WRC,RN9,00:07:13.3,79.51 0.66,00:00:06.3 00:00:00.1,1
12,3,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia R5,RC2,00:07:15.7,79.07 0.91,00:00:08.7 00:00:02.4,1
13,7,Franceschi  M.  /  Malfoy  Andy  Škoda Fabia RS Rally2,RC2,00:07:15.9,79.04 0.93,00:00:08.9 00:00:00.2,1
14,15,Tempestini  S.  /  Itu  Sergiu  Škoda Fabia Rally2 Evo,RC2,00:07:16.3,78.96 0.97,00:00:09.3 00:00:00.4,1
15,19,Ingram  Chris  /  Kihurani  A.  Volkswagen Polo Gti R5,RC2,00:07:16.7,78.89 1.01,00:00:09.7 00:00:00.4,1
16,6,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:07:20.0,78.30 1.36,00:00:13.0 00:00:03.3,1
17,12,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:07:22.8,77.80 1.65,00:00:15.8 00:00:02.8,1
18,16,von Thurn und Taxis  A.  /  Hain  Jara  Škoda Fabia RS Rally2,RC2,00:07:23.1,77.75 1.68,00:00:16.1 00:00:00.3,1
19,17,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:07:24.4,77.52 1.82,00:00:17.4 00:00:01.3,1
20,46,Jirásek  Aleš  /  Machů  Petr  Škoda Fabia R5,RC2,00:07:27.8,76.94 2.17,00:00:20.8 00:00:03.4,1
21,22,Vlček  Martin  /  Kunst  Jakub  Hyundai i20 R5,RC2,00:07:30.4,76.49 2.45,00:00:23.4 00:00:02.6,1
