Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,6,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:01:47.7,83.57 0.00,00:00:00.0 00:00:00.0,1
2,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:01:48.6,82.87 0.36,00:00:00.9 00:00:00.9,1
3,22,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:01:48.8,82.72 0.44,00:00:01.1 00:00:00.2,1
4,2,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia RS Rally2,RC2,00:01:49.0,82.57 0.52,00:00:01.3 00:00:00.2,1
5,11,Grzyb  Grzegorz  /  Binięda  Adam  Škoda Fabia Rally2 Evo,RC2,00:01:49.7,82.04 0.80,00:00:02.0 00:00:00.7,1
6,4,Kristensson  Tom  /  Johansson  A.  Citroën C3 Rally2,RC2,00:01:49.8,81.97 0.84,00:00:02.1 00:00:00.1,1
7,5,Mabellini  A.  /  Lenzi  Virginia  Škoda Fabia Rally2 Evo,RC2,00:01:49.9,81.89 0.88,00:00:02.2 00:00:00.1,1
7,12,Tempestini  S.  /  Itu  Sergiu  Škoda Fabia Rally2 Evo,RC2,00:01:49.9,81.89 0.88,00:00:02.2 00:00:00.0,1
9,7,Franceschi  M.  /  Escartefigue  J.  Škoda Fabia Rally2 Evo,RC2,00:01:50.0,81.82 0.92,00:00:02.3 00:00:00.1,1
10,9,Nucita  Andrea  /  Fenoli  Manuel  Hyundai i20 N Rally2,RC2,00:01:50.1,81.74 0.96,00:00:02.4 00:00:00.1,1
11,10,Heikkilä  Mikko  /  Vaaleri  Samu  Škoda Fabia Rally2 Evo,RC2,00:01:50.3,81.60 1.04,00:00:02.6 00:00:00.2,1
11,16,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:01:50.3,81.60 1.04,00:00:02.6 00:00:00.0,1
13,14,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:01:50.4,81.52 1.08,00:00:02.7 00:00:00.1,1
14,19,Byśkiniewicz  Ł.  /  Siatkowski  D.  Škoda Fabia Rally2 Evo,RC2,00:01:50.6,81.37 1.16,00:00:02.9 00:00:00.2,1
15,15,Tidemand  Pontus  /  Thulin  Julia  Ford Fiesta Rally2 MkII,RC2,00:01:50.7,81.30 1.20,00:00:03.0 00:00:00.1,1
16,3,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:01:50.8,81.23 1.24,00:00:03.1 00:00:00.1,1
16,21,McErlean  Joshua  /  Rowan  John  Hyundai i20 N Rally2,RC2,00:01:50.8,81.23 1.24,00:00:03.1 00:00:00.0,1
18,17,Plachytka  S.  /  Gerber  Jakub  Škoda Fabia Rally2 Evo,RC2,00:01:50.9,81.15 1.28,00:00:03.2 00:00:00.1,1
19,24,Campedelli  S.  /  Canton  Tania  Škoda Fabia Rally2 Evo,RC2,00:01:51.0,81.08 1.32,00:00:03.3 00:00:00.1,1
20,23,Pryce  Osian  /  Prévot  S.  Škoda Fabia Rally2 Evo,RC2,00:01:51.1,81.01 1.36,00:00:03.4 00:00:00.1,1
21,25,Rådström  D.  /  Johansson  Johan  Ford Fiesta Rally2 MkII,RC2,00:01:51.9,80.43 1.68,00:00:04.2 00:00:00.8,1
22,8,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:01:52.0,80.36 1.72,00:00:04.3 00:00:00.1,1
23,26,Kołtun  J.  /  Pleskot  I.  Ford Fiesta Rally2 MkII,RC2,00:01:52.5,80.00 1.92,00:00:04.8 00:00:00.5,1
24,31,Armstrong  Jon  /  Fair  Cameron  Ford Fiesta Rally3,RC3,00:01:54.2,78.81 2.60,00:00:06.5 00:00:01.7,1
25,32,Parys  Piotr  /  Syty  Damian  Ford Fiesta Rally3,RC3,00:01:55.5,77.92 3.12,00:00:07.8 00:00:01.3,1
26,60,Szeja  Jarosław  /  Szeja  Marcin  Hyundai i20 R5,RC2,00:01:55.8,77.72 3.24,00:00:08.1 00:00:00.3,1
27,29,Cuzma  Bogdan  /  Minor  Ilka  Škoda Fabia RS Rally2,RC2,00:01:56.2,77.45 3.40,00:00:08.5 00:00:00.4,1
28,34,Soria  Paulo  /  Coronado  Axel  Renault Clio Rally3,RC3,00:01:56.5,77.25 3.52,00:00:08.8 00:00:00.3,1
29,33,Matulka  Jakub  /  Dymurski  Daniel  Ford Fiesta Rally3,RC3,00:01:56.9,76.99 3.68,00:00:09.2 00:00:00.4,1
30,28,Somaschini  R.  /  Arena  Nicola  Citroën C3 Rally2,RC2,00:01:57.5,76.60 3.92,00:00:09.8 00:00:00.6,1
31,30,Bertolotti  S.  /  Capilli  F.  Citroën C3 Rally2,RC2,00:02:01.5,74.07 5.52,00:00:13.8 00:00:04.0,1
31,41,Johansson  Mille  /  Grönvall  Johan  Ford Fiesta Rally4,RC4,00:02:01.5,74.07 5.52,00:00:13.8 00:00:00.0,1
33,37,McRae  Max  /  Kierans  M.  Opel Corsa Rally4,RC4,00:02:01.9,73.83 5.68,00:00:14.2 00:00:00.4,1
34,35,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:02:02.3,73.59 5.84,00:00:14.6 00:00:00.4,1
35,54,Otake  Nao  /  Salminen  Marko  Renault Clio Rally4,RC4,00:02:02.4,73.53 5.88,00:00:14.7 00:00:00.1,1
